,PROFILE,X,Y,LONG,LAT,Z,S
702,AK,-5914.414449785393,-3067.5273064343664,-53.13008896859568,-26.705489488552974,-201.53531676508965,1.0
1041,AS,-6574.848155376193,-3066.4953558116836,-59.062865887394764,-26.697163335491556,-468.00498883653216,1.0
20,AA,-6243.999755647206,-3064.9202618855907,-56.09080414536443,-26.684453718938894,-424.66298834618203,1.0
2224,Z,-6383.45328681774,-3063.6299737061563,-57.34353653011372,-26.67404116588464,-555.5663239231291,1.0
429,AG,-5612.185993764212,-3063.0626071693405,-50.415124555198965,-26.669462245652447,-201.3002525067442,1.0
947,AP,-6334.222954376215,-3060.8826150753794,-56.901292929368644,-26.651866935222262,-450.556436296761,1.0
871,AN,-6171.217601342384,-3059.290044456952,-55.43699092913275,-26.63901113067413,-240.82387739646197,1.0
977,AQ,-6417.588133711348,-3058.7356018510663,-57.65017507696979,-26.634535126689826,-560.2097294150915,1.0
81,AB,-6078.818215101697,-3058.7264357751383,-54.60695312010004,-26.63446112765412,-201.08201239542626,1.0
2225,Z,-6369.757080754538,-3058.633350870274,-57.22050141770346,-26.633709637223134,-542.2377238302818,1.0
823,AM,-6088.805817199063,-3057.83383723665,-54.69667327625771,-26.627254820555287,-202.83705845826915,1.0
491,AH,-5697.496041341175,-3057.1192634522135,-51.181477751472464,-26.621485447877376,-195.33605118296066,1.0
1007,AR,-6506.913386312572,-3056.2534000804126,-58.45259747366495,-26.614494189022043,-467.9297515473046,1.0
2226,Z,-6363.07901612224,-3056.197072525216,-57.16051134242815,-26.614039367288214,-496.0319114129436,1.0
21,AA,-6218.103002714965,-3055.48429192729,-55.85816965568343,-26.608283800521246,-413.2785676292107,1.0
2227,Z,-6357.235709376589,-3054.065328903102,-57.108020024833976,-26.596825074519916,-471.1518584888204,1.0
1073,AT,-6674.977125383227,-3053.3020155207005,-59.9623397287994,-26.590660516623853,-459.9490236914366,1.0
22,AA,-6208.823891912795,-3052.103273040555,-55.774813985117156,-26.580978733778146,-375.2180200927964,1.0
23,AA,-6207.697945867639,-3051.6930133804126,-55.764699439702575,-26.577665033933283,-333.27541984572065,1.0
24,AA,-6205.362822136052,-3050.8421670431203,-55.743722666318625,-26.570792371632763,-290.7758019378942,1.0
767,AL,-6018.966705666819,-3049.1149552646084,-54.06929786307028,-26.556839636361772,-203.64972410718133,1.0
2167,Y,-6482.237852635515,-3049.114533276129,-58.23093338320589,-26.556836227251225,-466.5973767696398,1.0
628,AJ,-5868.4399484117075,-3048.56744788759,-52.717092995958126,-26.552416412432944,-200.78992375884806,1.0
2228,Z,-6340.54054702628,-3047.9746327597054,-56.958044829732586,-26.54762696000226,-446.27180556469716,1.0
976,AQ,-6431.712106928031,-3047.9349164500736,-57.777052887100204,-26.54730607807658,-491.2988982653318,1.0
25,AA,-6190.152901214872,-3045.30014572269,-55.60708962198118,-26.526016819259905,-263.9644915639724,1.0
555,AI,-5794.6207559515615,-3042.3027092202137,-52.05396390747502,-26.501792324703693,-201.38191613125997,1.0
2229,Z,-6319.7293243083395,-3040.38232360524,-56.77109443524517,-26.48626955890259,-431.8558238844688,1.0
428,AG,-5642.433846326302,-3039.820691046264,-50.68684563788216,-26.48172939805602,-201.3002525067442,1.0
1040,AS,-6609.980926585695,-3039.611148277456,-59.378468940904455,-26.480035436546512,-465.07941606435156,1.0
490,AH,-5722.4354545693095,-3038.0173844478204,-51.40551231227052,-26.46715048940816,-197.200113015511,1.0
82,AB,-6020.681796900424,-3037.600076660926,-54.08470478975835,-26.46377648087769,-200.0828804110138,1.0
26,AA,-6167.115078627431,-3036.905880912405,-55.40013734054985,-26.458163561896164,-242.0720959067274,1.0
946,AP,-6366.477011524253,-3036.2039660226437,-57.191036054478104,-26.45248794857109,-441.4205321216622,1.0
913,AO,-6287.904108076146,-3033.1853175669407,-56.48520365362729,-26.428076238037498,-425.22039959610584,1.0
975,AQ,-6451.664596622292,-3032.677130213286,-57.95628915158612,-26.423966029607,-475.9530824447529,1.0
1101,AU,-6789.665929904789,-3031.986404511118,-60.99260678899055,-26.418379217476854,-437.77360860149395,1.0
701,AK,-5961.045489753511,-3031.8099141183607,-53.548982727773165,-26.41695166240836,-207.9033042723355,1.0
2168,Y,-6433.856494294843,-3031.5060666356767,-57.796316246566995,-26.414493928638002,-466.28252137223643,1.0
1006,AR,-6539.321291694807,-3031.4543072661795,-58.74372264097656,-26.414075256900308,-465.0395285797686,1.0
627,AJ,-5892.703565975816,-3029.9764638993734,-52.93505678101682,-26.40212061384622,-206.33360459503245,1.0
2230,Z,-6279.237094263564,-3025.610028242285,-56.40734654387212,-26.366792116939717,-426.5638947708577,1.0
27,AA,-6131.836609825768,-3024.0515059775107,-55.083225463301176,-26.354179588186685,-232.13623111378394,1.0
822,AM,-6133.038427338128,-3023.9682450989285,-55.09402157370193,-26.353505750391196,-209.63854587291797,1.0
870,AN,-6217.856420663485,-3023.5518670049246,-55.855954571427084,-26.35013590540363,-261.68365481624994,1.0
2169,Y,-6407.303819001278,-3021.8421813468567,-57.55778950606227,-26.3362979806398,-443.81573938043664,1.0
83,AB,-5968.01285576207,-3018.4605596579704,-53.6115716415286,-26.308922745845678,-200.3088260495823,1.0
367,AF,-5586.603541748399,-3018.4051146795755,-50.18531347868838,-26.30847384774039,-201.30025272086417,1.0
626,AJ,-5908.223800715115,-3018.084731977317,-53.07447742181118,-26.305879905049668,-215.90045154942487,1.0
427,AG,-5671.899924661146,-3017.179476443388,-50.95154392319469,-26.298550287797845,-201.28428053835427,1.0
1072,AT,-6725.880116743784,-3014.306921882021,-60.41960908026532,-26.27528886396366,-460.15039065202984,1.0
